typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","804","UKR","Ukraine","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","63274000",,"63274000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","792","TUR","Türkiye","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","131200500",,"131200500","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","764","THA","Thailand","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","11166000",,"11166000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","756","CHE","Switzerland ","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","1427387000",,"1427387000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","752","SWE","Sweden","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","245652000",,"245652000","0","true","false",
"S","A","20000101","2000","52","2000","40","AUT","Austria","X","Export","724","ESP","Spain","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","172142500",,"172142500","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","591","PAN","Panama","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","524000",,"524000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","586","PAK","Pakistan","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","41000",,"41000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","579","NOR","Norway","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","182000",,"182000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","44","BHS","Bahamas","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","254000",,"254000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","36","AUS","Australia","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","319000",,"319000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","32","ARG","Argentina","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","42000",,"42000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","12","DZA","Algeria","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","708000",,"708000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","1000300000",,"1000300000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","196","CYP","Cyprus","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","5709000",,"5709000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","191","HRV","Croatia","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","177000",,"177000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","170","COL","Colombia","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","3000",,"3000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","158","TWN","Taiwan, Province of China","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","231000",,"231000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","156","CHN","China","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","5038000",,"5038000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","152","CHL","Chile","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","1000",,"1000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","144","LKA","Sri Lanka","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","76000",,"76000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","124","CAN","Canada","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","1355000",,"1355000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","116","KHM","Cambodia","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","1000",,"1000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","100","BGR","Bulgaria","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","445000",,"445000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","76","BRA","Brazil","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","36000",,"36000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","56","BEL","Belgium","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","20466000",,"20466000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","50","BGD","Bangladesh","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","7000",,"7000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","48","BHR","Bahrain","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","1000",,"1000","0","true","false",
"S","A","20000101","2000","52","2000","112","BLR","Belarus","X","Export","51","ARM","Armenia","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","248000",,"248000","0","true","false",
