Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ESP,Sector,"Electricity, Gas and Water",0.04303143929360185
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,LKA,Sector,"Electricity, Gas and Water",0.1291746839539179
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,SUD,Sector,"Electricity, Gas and Water",0.0
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,SUR,Sector,"Electricity, Gas and Water",2.696197409942334
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,SWZ,Sector,"Electricity, Gas and Water",1.8183088839465482
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,SWE,Sector,"Electricity, Gas and Water",0.09370372392184606
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CHE,Sector,"Electricity, Gas and Water",0.02293198546489488
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,SYR,Sector,"Electricity, Gas and Water",0.09453517481401576
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,TWN,Sector,"Electricity, Gas and Water",0.21505425926708682
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,TJK,Sector,"Electricity, Gas and Water",4.240829514372473
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,THA,Sector,"Electricity, Gas and Water",0.0665588071613758
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,MKD,Sector,"Electricity, Gas and Water",1.8946439627240048
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,TGO,Sector,"Electricity, Gas and Water",4.044079054842431
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,TTO,Sector,"Electricity, Gas and Water",1.000319109646063
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,TUN,Sector,"Electricity, Gas and Water",0.44920309956617377
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,TUR,Sector,"Electricity, Gas and Water",0.06466610039432559
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,TKM,Sector,"Electricity, Gas and Water",1.4715596566473688
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,USR,Sector,"Electricity, Gas and Water",6407.607592394159
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,UGA,Sector,"Electricity, Gas and Water",0.7470116369670159
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,UKR,Sector,"Electricity, Gas and Water",0.10743383327400308
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ARE,Sector,"Electricity, Gas and Water",0.024834453373803526
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,GBR,Sector,"Electricity, Gas and Water",0.12219103023396087
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,TZA,Sector,"Electricity, Gas and Water",0.3181301003548619
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,USA,Sector,"Electricity, Gas and Water",0.010812896869618872
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,URY,Sector,"Electricity, Gas and Water",1.1345563973918504
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,UZB,Sector,"Electricity, Gas and Water",0.8085341568017275
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,VUT,Sector,"Electricity, Gas and Water",21.541194841447023
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,VEN,Sector,"Electricity, Gas and Water",0.14048142244173592
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,VNM,Sector,"Electricity, Gas and Water",0.20300687136574608
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,YEM,Sector,"Electricity, Gas and Water",0.5106214366598794
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ZMB,Sector,"Electricity, Gas and Water",0.4292558419321316
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ZWE,Sector,"Electricity, Gas and Water",1.069582407914226
